raw_name,clean_name,name_category,match_status,manual_gbif_usageKey,manual_gbif_canonicalName,notes,Original.sheet,date_added
Gnatcatcher sp.,Gnatcatcher sp.,higher_rank_expected,needs_review_coarsest_group_only,627GW,Polioptilidae†,Common name,,9/21/2026
Goose sp.,Goose sp.,higher_rank_expected,needs_review_coarsest_group_only,9H6K5,Anatidae,Common name,,9/21/2026
Grallistrix sp.,Grallistrix sp.,higher_rank_expected,needs_review_coarsest_group_only,GQX,Strigidae,EXTINCT (revert to family),,9/21/2026
Grebe sp.,Grebe sp.,higher_rank_expected,needs_review_coarsest_group_only,3V6,Podicipediformes,Common name,,9/21/2026
Grouse sp.,Grouse sp.,higher_rank_expected,needs_review_coarsest_group_only,625WG,Phasianidae,Common name,,9/21/2026
Gull sp.,Gull sp.,higher_rank_expected,needs_review_coarsest_group_only,BSK,Laridae,Common name,,9/21/2026
Harrier sp.,Harrier sp.,higher_rank_expected,needs_review_coarsest_group_only,3Q54,Circus,Common name,,9/21/2026
Hawk sp.,Hawk sp.,higher_rank_expected,needs_review_coarsest_group_only,5W6,Accipitridae,Common name,,9/21/2026
Heron sp.,Heron sp.,higher_rank_expected,needs_review_coarsest_group_only,6PB,Ardeidae,Typo,,9/21/2026
Ibis sp.,Ibis sp.,higher_rank_expected,needs_review_coarsest_group_only,H89,Threskiornithidae,Common name,,9/21/2026
Jaeger sp.,Jaeger sp.,higher_rank_expected,needs_review_coarsest_group_only,7N5S,Stercorarius,Common name,,9/21/2026
Jay sp.,Jay sp.,higher_rank_expected,needs_review_coarsest_group_only,8L6,Corvidae,Common name,,9/21/2026
Lapogus sp.,Lapogus sp.,higher_rank_expected,needs_review_coarsest_group_only,63836,Lagopus,Typo,,9/21/2026
Lapwing sp.,Lapwing sp.,higher_rank_expected,needs_review_coarsest_group_only,824,Charadriidae,Common name,,9/21/2026
Muscicapid sp.,Muscicapid sp.,higher_rank_expected,needs_review_coarsest_group_only,CZN,Muscicapidae,Short name,,9/21/2026
Owl sp.,Owl sp.,higher_rank_expected,needs_review_coarsest_group_only,466,Strigiformes,Common name,,9/21/2026
Parid sp.,Parid sp.,higher_rank_expected,needs_review_coarsest_group_only,626B2,Paridae,Short name,,9/21/2026
Partridge sp.,Partridge sp.,higher_rank_expected,needs_review_coarsest_group_only,625WG,Phasianidae,Common name,,9/21/2026
Parulid sp.,Parulid sp.,higher_rank_expected,needs_review_coarsest_group_only,626BR,Parulidae,Short name,,9/21/2026
Petrel sp.,Petrel sp.,higher_rank_expected,needs_review_coarsest_group_only,622V8,Procellariiformes,Common name,,9/21/2026
Phalacrocoracid sp.,Phalacrocoracid sp.,higher_rank_expected,needs_review_coarsest_group_only,62694,Phalacrocoracidae,Short name,,9/21/2026
Pheasant sp.,Pheasant sp.,higher_rank_expected,needs_review_coarsest_group_only,625WG,Phasianidae,Common name,,9/21/2026
Plover sp.,Plover sp.,higher_rank_expected,needs_review_coarsest_group_only,824,Charadriidae,Common name,,9/21/2026
Pogionulus sp.,Pogionulus sp.,higher_rank_expected,needs_review_coarsest_group_only,63NN7,Pogoniulus,Typo,,9/21/2026
Procellariiform sp.,Procellariiform sp.,higher_rank_expected,needs_review_coarsest_group_only,622V8,Procellariiformes,Short name,,9/21/2026
Psittacid sp.,Psittacid sp.,higher_rank_expected,needs_review_coarsest_group_only,FBD,Psittacidae,Short name,,9/21/2026
Psittacines sp.,Psittacines sp.,higher_rank_expected,needs_review_coarsest_group_only,3X7,Psittaciformes,Short name,,9/21/2026
Rallid sp.,Rallid sp.,higher_rank_expected,needs_review_coarsest_group_only,FJ9,Rallidae,Short name,,9/21/2026
Sandpiper sp.,Sandpiper sp.,higher_rank_expected,needs_review_coarsest_group_only,G4X,Scolopacidae,Common name,,9/21/2026
Scoter sp.,Scoter sp.,higher_rank_expected,needs_review_coarsest_group_only,62YSK,Melanitta,Common name,,9/21/2026
Seabird sp.,Seabird sp.,higher_rank_expected,needs_review_coarsest_group_only,V2,Aves,Non-specific,,9/21/2026
Shearwater sp.,Shearwater sp.,higher_rank_expected,needs_review_coarsest_group_only,627CQ,Procellariidae,Common name,,9/21/2026
Shorebird sp.,Shorebird sp.,higher_rank_expected,needs_review_coarsest_group_only,X3,Charadriiformes,Common name,,9/21/2026
Sittid sp.,Sittid sp.,higher_rank_expected,needs_review_coarsest_group_only,626XK,Sittidae,Short name,,9/21/2026
Skua sp.,Skua sp.,higher_rank_expected,needs_review_coarsest_group_only,7N5S,Stercorarius,Common name,,9/21/2026
Songbird sp.,Songbird sp.,higher_rank_expected,needs_review_coarsest_group_only,3RL,Passeriformes,Common name,,9/21/2026
Sparrow sp.,Sparrow sp.,higher_rank_expected,needs_review_coarsest_group_only,9G6YK,Passerellidae,Common name (new world),,9/21/2026
Stint sp.,Stint sp.,higher_rank_expected,needs_review_coarsest_group_only,3F8J,Calidris,Common name,,9/21/2026
Storm-petrel sp.,Storm-petrel sp.,higher_rank_expected,needs_review_coarsest_group_only,622V8,Procellariiformes,Common name,,9/21/2026
Swallow sp.,Swallow sp.,higher_rank_expected,needs_review_coarsest_group_only,B3Y,Hirundinidae,Common name,,9/21/2026
Tanager sp.,Tanager sp.,higher_rank_expected,needs_review_coarsest_group_only,H87,Thraupidae,Common name,,9/21/2026
Thrasher sp.,Thrasher sp.,higher_rank_expected,needs_review_coarsest_group_only,CTD,Mimidae,Common name,,9/21/2026
Threskiornithid sp.,Threskiornithid sp.,higher_rank_expected,needs_review_coarsest_group_only,H89,Threskiornithidae,Short name,,9/21/2026
Tringinae sp.,Tringinae sp.,higher_rank_expected,needs_review_coarsest_group_only,G4X,Scolopacidae,Not recognized,,9/21/2026
Unid. Bunting sp.,Unid. Bunting sp.,higher_rank_expected,needs_review_coarsest_group_only,6JG5,Passerina,Common name (new world),,9/21/2026
Unid. Cormorant sp.,Unid. Cormorant sp.,higher_rank_expected,needs_review_coarsest_group_only,62694,Phalacrocoracidae,Common name,,9/21/2026
Unid. Crane sp.,Unid. Crane sp.,higher_rank_expected,needs_review_coarsest_group_only,625DG,Gruidae,Common name,,9/21/2026
Unid. Ibis sp.,Unid. Ibis sp.,higher_rank_expected,needs_review_coarsest_group_only,H89,Threskiornithidae,Common name,,9/21/2026
Unid. Lark sp.,Unid. Lark sp.,higher_rank_expected,needs_review_coarsest_group_only,667,Alaudidae,Common name,,9/21/2026
Unid. Raptor sp.,Unid. Raptor sp.,higher_rank_expected,needs_review_coarsest_group_only,V2,Aves,Non-specific,,9/21/2026
Vireonid sp.,Vireonid sp.,higher_rank_expected,needs_review_coarsest_group_only,626RC,Vireonidae,Short name,,9/21/2026
Wading bird sp.,Wading bird sp.,higher_rank_expected,needs_review_coarsest_group_only,V2,Aves,Non-specific,,9/21/2026
Warbler sp.,Warbler sp.,higher_rank_expected,needs_review_coarsest_group_only,3RL,Passeriformes,Not specific (old world),,9/21/2026
Waterbird sp.,Waterbird sp.,higher_rank_expected,needs_review_coarsest_group_only,V2,Aves,Non-specific,,9/21/2026
Waterfowl sp.,Waterfowl sp.,higher_rank_expected,needs_review_coarsest_group_only,PQ,Anseriformes,Common name,,9/21/2026
Wood-warbler sp.,Wood-warbler sp.,higher_rank_expected,needs_review_coarsest_group_only,626BR,Parulidae,Common name,,9/21/2026
Woodpecker sp.,Woodpecker sp.,higher_rank_expected,needs_review_coarsest_group_only,625L8,Picidae,Common name,,9/21/2026
Wren sp.,Wren sp.,higher_rank_expected,needs_review_coarsest_group_only,626S2,Troglodytidae,Common name,,9/21/2026
alcidae sp.,alcidae sp.,higher_rank_expected,needs_review_coarsest_group_only,66H,Alcidae,?,,9/21/2026
anatidae sp.,anatidae sp.,higher_rank_expected,needs_review_coarsest_group_only,9H6K5,Anatidae,?,,9/21/2026
mountain-gem,mountain-gem,higher_rank_expected,needs_review_coarsest_group_only,KGD,Trochilinae,Not recognized,,9/21/2026
parrot sp.,parrot sp.,higher_rank_expected,needs_review_coarsest_group_only,3X7,Psittaciformes,Common name,,9/21/2026
rallidae sp.,rallidae sp.,higher_rank_expected,needs_review_coarsest_group_only,FJ9,Rallidae,?,,9/21/2026
raptor sp.,raptor sp.,higher_rank_expected,needs_review_coarsest_group_only,V2,Aves,Non-specific,,9/21/2026
trogonidae sp.,trogonidae sp.,higher_rank_expected,needs_review_coarsest_group_only,HJJ,Trogonidae,?,,9/21/2026
unid. Owl sp.,unid. Owl sp.,higher_rank_expected,needs_review_coarsest_group_only,466,Strigiformes,Common name,,9/21/2026
unid. Tanager sp.,unid. Tanager sp.,higher_rank_expected,needs_review_coarsest_group_only,H87,Thraupidae,Common name,,9/21/2026
unid. falcon sp.,unid. falcon sp.,higher_rank_expected,needs_review_coarsest_group_only,62SZ6,Falco,Common name,,9/21/2026
unid. furnariid,unid. furnariid,higher_rank_expected,needs_review_coarsest_group_only,6245S,Furnariidae,Short name,,9/21/2026
unid. screech-owl sp.,unid. screech-owl sp.,higher_rank_expected,needs_review_coarsest_group_only,5N2J,Megascops†,Common name,,9/21/2026
uria sp.,uria sp.,higher_rank_expected,needs_review_coarsest_group_only,855Y,Uria,?,,9/21/2026
