"raw_name","query_name","gbif_resolved_name","checklist_source","manual_checklist_id","manual_checklist_name","notes","date_added"
"Leucolia violiceps","Leucolia violiceps","Leucolia violiceps","avilist_2025",,,,"2026-09-23"
"Leucopternis albicollis","Leucopternis albicollis","Leucopternis albicollis","avilist_2025",,,,"2026-09-23"
"Marmosa alstoni","Marmosa alstoni","Marmosa alstoni","avilist_2025",,,,"2026-09-23"
"Megarhynchus pitangua","Megarhynchus pitangua","Megarhynchus pitangua","avilist_2025",,,,"2026-09-23"
"Melaenornis silens","Melaenornis silens","Melaenornis silens","avilist_2025",,,,"2026-09-23"
"Milvago chimachima","Milvago chimachima","Milvago chimachima","avilist_2025",,,,"2026-09-23"
"Milvago chimango","Milvago chimango","Milvago chimango","avilist_2025",,,,"2026-09-23"
"Mionectes galbinus","Mionectes galbinus","Mionectes galbinus","avilist_2025",,,,"2026-09-23"
"Mixornos gularis","Mixornos gularis","Macronus gularis","avilist_2025",,,,"2026-09-23"
"Oceanodroma spp.","Oceanodroma","Oceanodroma","avilist_2025",,,,"2026-09-23"
"Owl sp.","Owl","Cavibelonia","avilist_2025",,,,"2026-09-23"
"Oxyura ferruginea","Oxyura ferruginea","Oxyura ferruginea","avilist_2025",,,,"2026-09-23"
"Pachysylvia darienensis","Pachysylvia darienensis","Hylophilus decurtatus darienensis","avilist_2025",,,,"2026-09-23"
"Pachysylvia decurata","Pachysylvia decurata","Hylophilus decurtatus","avilist_2025",,,,"2026-09-23"
"Passerella iliaca fulva","Passerella iliaca fulva","Passerella megarhyncha","avilist_2025",,,,"2026-09-23"
"Passerella iliaca monoensis","Passerella iliaca monoensis","Passerella megarhyncha","avilist_2025",,,,"2026-09-23"
"Phalcoboenus australis","Phalcoboenus australis","Phalcoboenus australis","avilist_2025",,,,"2026-09-23"
"Pica nuttalli","Pica nuttalli","Pica nuttalli","avilist_2025",,,,"2026-09-23"
"Platysteira castanea","Platysteira castanea","Platysteira castanea","avilist_2025",,,,"2026-09-23"
"Plover sp.","Plover","Beroida","avilist_2025",,,,"2026-09-23"
"Porphyrio poliocephalus","Porphyrio poliocephalus","Porphyrio poliocephalus","avilist_2025",,,,"2026-09-23"
"Ptaiochen sp.","Ptaiochen","Ptaiochen","avilist_2025",,,,"2026-09-23"
"Ramosomyia violicep","Ramosomyia violicep","Leucolia violiceps","avilist_2025",,,,"2026-09-23"
"Ramphocelus bresilius","Ramphocelus bresilius","Ramphocelus bresilius","avilist_2025",,,,"2026-09-23"
"Raptor sp.","Raptor","Arthropoda","avilist_2025",,,,"2026-09-23"
"Saxicola stejnegeri","Saxicola stejnegeri","Saxicola stejnegeri","avilist_2025",,,,"2026-09-23"
"Seabird sp.","Seabird","Aves","avilist_2025",,,,"2026-09-23"
"Setaphaga auduboni","Setaphaga auduboni","Setophaga auduboni","avilist_2025",,,,"2026-09-23"
