"raw_name","clean_name","query_name","name_category","n_distinct_groups","group_conflict","taxa_group","usageKey","scientificName","canonicalName","rank","code","status","type","formattedName","matchType","confidence","timeTaken","domain","kingdom","phylum","subphylum","infraphylum","parvphylum","megaclass","class","domainKey","kingdomKey","phylumKey","subphylumKey","infraphylumKey","parvphylumKey","megaclassKey","classKey","value","verbatim_name","verbatim_kingdom","verbatim_phylum","verbatim_class","verbatim_checklistKey","is_alternative","authorship","genericName","specificEpithet","order","family","subfamily","genus","species","orderKey","familyKey","subfamilyKey","genusKey","speciesKey","infraspecificEpithet","subspecies","subspeciesKey","acceptedUsageKey","acceptedScientificName","note","superorder","superorderKey","form","formKey","suborder","infraorder","suborderKey","infraorderKey","subclass","infraclass","subclassKey","infraclassKey","infragenericEpithet","tribe","subgenus","tribeKey","subgenusKey","superfamily","superfamilyKey","series_zoology","supertribe","subtribe","series_zoologyKey","supertribeKey","subtribeKey","is_synonym","final_usageKey","coarsest_rank","match_status"
"Pica hudsonia","Pica hudsonia","Pica hudsonia","full_name",1,FALSE,"bird","4HPXK","Pica hudsonia (Sabine, 1823)","Pica hudsonia","SPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Pica</i> <i>hudsonia</i> (Sabine, 1823)","EXACT",100,8,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Pica hudsonia",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"(Sabine, 1823)","Pica","hudsonia","Passeriformes","Corvidae",NA,"Pica","Pica hudsonia","3RL","8L6",NA,"63MBS","4HPXK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"4HPXK","class","matched"
"Pica hundonia","Pica hundonia","Pica hundonia","full_name",1,FALSE,"bird","63MBS","Pica Brisson, 1760","Pica hudsonia","GENUS","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Pica</i> Brisson, 1760","HIGHERRANK",98,14,"Eukaryota",NA,NA,"Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda",NA,"CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Pica hundonia",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"Brisson, 1760",NA,NA,NA,NA,NA,NA,NA,"3RL","8L6",NA,"63MBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"4HPXK","class","manual"
"Pica nuttalli","Pica nuttalli","Pica nuttalli","full_name",1,FALSE,"bird","VNZP6","Pica nuttalli","Pica nuttalli","SPECIES",NA,"ACCEPTED","SCIENTIFIC","<i>Pica</i> <i>nuttalli</i>","EXACT",100,4,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Pica nuttalli",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,NA,"Pica","nuttalli","Passeriformes","Corvidae",NA,"Pica","Pica nuttalli","3RL","8L6",NA,"63MBS","VNZP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"VNZP6","class","matched"
"Pica pica","Pica pica","Pica pica","full_name",1,FALSE,"bird","4HPXM","Pica pica (Linnaeus, 1758)","Pica pica","SPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Pica</i> <i>pica</i> (Linnaeus, 1758)","EXACT",100,2,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Pica pica",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"(Linnaeus, 1758)","Pica","pica","Passeriformes","Corvidae",NA,"Pica","Pica pica","3RL","8L6",NA,"63MBS","4HPXM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"4HPXM","class","matched"
"Pica pica anderssoni","Pica pica anderssoni","Pica pica anderssoni","full_name",1,FALSE,"bird","V7YQ2","Pica pica anderssoni Lönnberg, 1923","Pica pica anderssoni","SUBSPECIES","ZOOLOGICAL","SYNONYM","SCIENTIFIC","<i>Pica</i> <i>pica</i> <i>anderssoni</i> Lönnberg, 1923","EXACT",100,4,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",TRUE,"Pica pica anderssoni",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"Lönnberg, 1923","Pica","pica","Passeriformes","Corvidae",NA,"Pica","Pica serica","3RL","8L6",NA,"63MBS","S5WWB","anderssoni","Pica serica anderssoni","S5WWG","S5WWG","Pica serica anderssoni Lönnberg, 1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"S5WWG","class","matched"
"Pica serica","Pica serica","Pica serica","full_name",1,FALSE,"bird","S5WWB","Pica serica Gould, 1845","Pica serica","SPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Pica</i> <i>serica</i> Gould, 1845","EXACT",100,2,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Pica serica",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"Gould, 1845","Pica","serica","Passeriformes","Corvidae",NA,"Pica","Pica serica","3RL","8L6",NA,"63MBS","S5WWB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"S5WWB","class","matched"
"Pica sp.","Pica sp.","Pica","higher_rank_expected",1,FALSE,"bird","63MBS","Pica Brisson, 1760","Pica","GENUS","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Pica</i> Brisson, 1760","EXACT",98,36,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Pica",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"Brisson, 1760",NA,NA,"Passeriformes","Corvidae",NA,"Pica",NA,"3RL","8L6",NA,"63MBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"63MBS","class","matched"
"Picidae sp.","Picidae sp.","Picidae","higher_rank_expected",1,FALSE,"bird","625L8","Picidae Vigors, 1825","Picidae","FAMILY","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Picidae</i> Vigors, 1825","EXACT",98,5,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Picidae",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"Vigors, 1825",NA,NA,"Piciformes","Picidae",NA,NA,NA,"3TR","625L8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"625L8","class","matched"
"Picoides arcticus","Picoides arcticus","Picoides arcticus","full_name",1,FALSE,"bird","4HQFB","Picoides arcticus (Swainson, 1832)","Picoides arcticus","SPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Picoides</i> <i>arcticus</i> (Swainson, 1832)","EXACT",100,7,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Picoides arcticus",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"(Swainson, 1832)","Picoides","arcticus","Piciformes","Picidae","Picinae","Picoides","Picoides arcticus","3TR","625L8","K5T","6Q88","4HQFB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"4HQFB","class","matched"
"Picoides dorsalis","Picoides dorsalis","Picoides dorsalis","full_name",1,FALSE,"bird","6VJ2R","Picoides dorsalis S. F. Baird, 1858","Picoides dorsalis","SPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Picoides</i> <i>dorsalis</i> S. F. Baird, 1858","EXACT",100,5,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Picoides dorsalis",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"S. F. Baird, 1858","Picoides","dorsalis","Piciformes","Picidae","Picinae","Picoides","Picoides dorsalis","3TR","625L8","K5T","6Q88","6VJ2R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"6VJ2R","class","matched"
"Picoides dorsalis dorsalis","Picoides dorsalis dorsalis","Picoides dorsalis dorsalis","full_name",1,FALSE,"bird","7KMGN","Picoides dorsalis dorsalis S. F. Baird, 1858","Picoides dorsalis dorsalis","SUBSPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Picoides</i> <i>dorsalis</i> <i>dorsalis</i> S. F. Baird, 1858","EXACT",100,8,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Picoides dorsalis dorsalis",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"S. F. Baird, 1858","Picoides","dorsalis","Piciformes","Picidae","Picinae","Picoides","Picoides dorsalis","3TR","625L8","K5T","6Q88","6VJ2R","dorsalis","Picoides dorsalis dorsalis","7KMGN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"7KMGN","class","matched"
"Picoides dorsalis fasciatus","Picoides dorsalis fasciatus","Picoides dorsalis fasciatus","full_name",1,FALSE,"bird","7KMGT","Picoides dorsalis fasciatus S. F. Baird, 1870","Picoides dorsalis fasciatus","SUBSPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Picoides</i> <i>dorsalis</i> <i>fasciatus</i> S. F. Baird, 1870","EXACT",100,7,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Picoides dorsalis fasciatus",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"S. F. Baird, 1870","Picoides","dorsalis","Piciformes","Picidae","Picinae","Picoides","Picoides dorsalis","3TR","625L8","K5T","6Q88","6VJ2R","fasciatus","Picoides dorsalis fasciatus","7KMGT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"7KMGT","class","matched"
"Picoides scalaris","Picoides scalaris","Picoides scalaris","full_name",1,FALSE,"bird","7WGCV","Picoides scalaris (Wagler, 1829)","Picoides scalaris","SPECIES","ZOOLOGICAL","SYNONYM","SCIENTIFIC","<i>Picoides</i> <i>scalaris</i> (Wagler, 1829)","EXACT",100,8,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",TRUE,"Picoides scalaris",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"(Wagler, 1829)","Picoides","scalaris","Piciformes","Picidae","Picinae","Dryobates","Dryobates scalaris","3TR","625L8","K5T","7NXMX","7TCSY",NA,NA,NA,"7TCSY","Dryobates scalaris (Wagler, 1829)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"7TCSY","class","matched"
"Picoides tridactylus","Picoides tridactylus","Picoides tridactylus","full_name",1,FALSE,"bird","4HQFM","Picoides tridactylus (Linnaeus, 1758)","Picoides tridactylus","SPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Picoides</i> <i>tridactylus</i> (Linnaeus, 1758)","EXACT",100,9,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Picoides tridactylus",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"(Linnaeus, 1758)","Picoides","tridactylus","Piciformes","Picidae","Picinae","Picoides","Picoides tridactylus","3TR","625L8","K5T","6Q88","4HQFM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"4HQFM","class","matched"
